DI20R16p08.A01	COVID_ICU_012_A.1
DI20R16p08.A02	COVID_ICU_014_Z
DI20R16p08.A03	COVID_W_004_C
DI20R16p08.A04	COVID_ICU_059_L1
DI20R16p08.A05	COVID_ICU_038_Z
DI20R16p08.A06	COVID_ICU_050_A
DI20R16p08.A07	COVID_ICU_055_E1.1
DI20R16p08.A08	COVID_ICU_022_Y
DI20R16p08.A09	COVID_ICU_026_C
DI20R16p08.A10	COVID_ICU_056_E1.1
DI20R16p08.A11	COVID_ICU_008_D
DI20R16p08.A12	COVID_ICU_023_A.2
DI20R16p08.B01	COVID_ICU_016_A
DI20R16p08.B02	COVID_ICU_033_Z
DI20R16p08.B03	COVID_ICU_002_C
DI20R16p08.B04	Blank_B3
DI20R16p08.B05	COVID_ICU_039_A
DI20R16p08.B06	COVID_ICU_050_Z
DI20R16p08.B07	COVID_ICU_005_C
DI20R16p08.B08	COVID_ICU_023_A.1
DI20R16p08.B09	COVID_ICU_026_Z
DI20R16p08.B10	COVID_ICU_056_L1
DI20R16p08.B11	COVID_ICU_009_C
DI20R16p08.B12	COVID_ICU_056_E1.2
DI20R16p08.C01	COVID_ICU_029_A
DI20R16p08.C02	Runella
DI20R16p08.C03	COVID_ICU_002_D.1
DI20R16p08.C04	COVID_ICU_034_C
DI20R16p08.C05	COVID_ICU_039_C
DI20R16p08.C06	COVID_ICU_051_A
DI20R16p08.C07	COVID_W_002_C
DI20R16p08.C08	COVID_ICU_023_C
DI20R16p08.C09	COVID_ICU_026_D
DI20R16p08.C10	COVID_ICU_058_D
DI20R16p08.C11	COVID_ICU_009_E1
DI20R16p08.C12	COVID_ICU_010_C.3
DI20R16p08.D01	COVID_ICU_003_C
DI20R16p08.D02	COVID_W_002_Y
DI20R16p08.D03	COVID_ICU_009_D
DI20R16p08.D04	COVID_ICU_035_C
DI20R16p08.D05	COVID_ICU_039_D
DI20R16p08.D06	Neg_control
DI20R16p08.D07	Blank_B5
DI20R16p08.D08	COVID_ICU_023_Z
DI20R16p08.D09	COVID_ICU_027_A
DI20R16p08.D10	Blank_B7
DI20R16p08.D11	COVID_ICU_041_C
DI20R16p08.D12	COVID_ICU_014_Y.3
DI20R16p08.E01	COVID_ICU_010_C.1
DI20R16p08.E02	COVID_ICU_019_D
DI20R16p08.E03	COVID_ICU_009_Z
DI20R16p08.E04	COVID_ICU_036_A
DI20R16p08.E05	COVID_ICU_040_C
DI20R16p08.E06	COVID_ICU_051_C
DI20R16p08.E07	COVID_ICU_020_C
DI20R16p08.E08	COVID_ICU_023_D
DI20R16p08.E09	COVID_ICU_027_C
DI20R16p08.E10	COVID_W_031_C
DI20R16p08.E11	COVID_ICU_041_D
DI20R16p08.E12	COVID_ICU_060_A.3
DI20R16p08.F01	NP
DI20R16p08.F02	Blank_B2
DI20R16p08.F03	COVID_ICU_044_A.1
DI20R16p08.F04	COVID_ICU_036_D
DI20R16p08.F05	Blank_B4
DI20R16p08.F06	COVID_ICU_052_C
DI20R16p08.F07	COVID_ICU_021_C
DI20R16p08.F08	COVID_ICU_024_A
DI20R16p08.F09	COVID_ICU_027_D
DI20R16p08.F10	COVID_W_036_A
DI20R16p08.F11	COVID_ICU_010_C.2
DI20R16p08.F12	COVID_ICU_023_A.3
